student_id,concept_id,num_questions,confusion_score,help_requests,recency_days,help_style
S0003,K072,4,0.148,1,20,diagram
S0003,K030,4,0.328,1,20,diagram
S0003,K061,2,0.291,0,22,diagram
S0003,K040,9,0.531,3,23,diagram
S0003,K004,4,0.222,1,23,diagram
S0003,K022,7,0.456,2,19,diagram
S0003,K019,5,0.575,2,9,diagram
S0003,K048,4,0.292,1,13,diagram
S0003,K047,8,0.292,2,23,diagram
S0003,K008,6,0.466,2,21,diagram
S0003,K062,8,0.287,2,18,diagram
S0003,K054,7,0.412,2,29,diagram
S0004,K020,8,0.563,3,24,practice
S0004,K029,8,0.443,3,10,practice
S0004,K023,6,0.374,2,13,practice
S0004,K001,8,0.382,2,30,practice
S0004,K011,6,0.357,2,11,practice
S0004,K005,3,0.265,0,25,practice
S0004,K009,6,0.51,2,13,practice
S0004,K035,11,0.531,4,19,practice
S0004,K014,6,0.437,2,22,practice
S0004,K063,8,0.584,3,16,practice
S0004,K064,9,0.434,3,22,practice
S0004,K003,5,0.457,1,25,practice
S0004,K008,13,0.408,4,24,practice
S0004,K077,11,0.435,4,22,practice
S0004,K080,3,0.315,0,15,practice
S0005,K025,4,0.295,1,20,explanation
S0005,K026,1,0.141,0,23,explanation
S0005,K072,7,0.294,2,16,explanation
S0005,K049,2,0.133,0,19,explanation
S0005,K067,2,0.158,0,14,explanation
S0005,K014,1,0.082,0,17,explanation
S0005,K048,2,0.056,0,15,explanation
S0005,K047,4,0.125,1,21,explanation
S0005,K056,4,0.254,1,18,explanation
S0005,K034,3,0.104,0,8,explanation
S0005,K058,4,0.168,1,12,explanation
S0005,K033,4,0.227,1,13,explanation
S0005,K046,2,0.211,0,18,explanation
S0005,K078,1,0.118,0,12,explanation
S0005,K042,6,0.182,1,25,explanation
S0005,K079,2,0.0,0,13,explanation
S0006,K026,6,0.394,2,19,explanation
S0006,K049,7,0.422,2,15,explanation
S0006,K022,10,0.478,3,21,explanation
S0006,K021,9,0.454,3,21,explanation
S0006,K003,5,0.228,1,10,explanation
S0006,K008,7,0.344,2,19,explanation
S0006,K077,3,0.297,0,21,explanation
S0006,K062,5,0.237,1,19,explanation
S0006,K073,6,0.253,1,22,explanation
S0007,K023,8,0.37,2,7,examples
S0007,K051,6,0.462,2,9,examples
S0007,K011,3,0.183,0,18,examples
S0007,K050,7,0.433,2,10,examples
S0007,K010,6,0.462,2,19,examples
S0007,K049,10,0.417,3,15,examples
S0007,K009,3,0.354,1,16,examples
S0007,K052,2,0.466,0,12,examples
S0007,K059,8,0.301,2,19,examples
S0007,K043,5,0.402,1,17,examples
S0007,K063,5,0.446,1,10,examples
S0007,K047,3,0.337,1,17,examples
S0007,K056,6,0.319,1,23,examples
S0007,K008,8,0.474,3,11,examples
S0007,K080,5,0.193,1,16,examples
S0007,K046,9,0.467,3,16,examples
S0007,K078,3,0.088,0,14,examples
S0007,K079,3,0.265,0,12,examples
S0007,K073,3,0.036,0,17,examples
S0008,K075,3,0.101,0,16,examples
S0008,K026,7,0.252,2,15,examples
S0008,K051,6,0.09,1,15,examples
S0008,K011,3,0.217,0,19,examples
S0008,K030,5,0.198,1,25,examples
S0008,K050,5,0.181,1,12,examples
S0008,K010,3,0.198,0,19,examples
S0008,K045,4,0.21,1,15,examples
S0008,K027,7,0.257,2,22,examples
S0008,K014,4,0.161,1,19,examples
S0008,K043,1,0.13,0,18,examples
S0008,K047,4,0.005,0,12,examples
S0008,K003,5,0.205,1,19,examples
S0008,K046,6,0.171,1,18,examples
S0008,K015,4,0.068,0,24,examples
S0008,K079,3,0.193,0,15,examples
S0009,K020,10,0.636,4,18,diagram
S0009,K031,7,0.638,3,20,diagram
S0009,K011,3,0.427,1,14,diagram
S0009,K049,12,0.536,4,18,diagram
S0009,K005,6,0.313,1,23,diagram
S0009,K004,11,0.56,4,22,diagram
S0009,K071,5,0.394,1,28,diagram
S0009,K019,11,0.651,5,21,diagram
S0009,K017,15,0.695,7,19,diagram
S0009,K062,3,0.37,1,19,diagram
S0009,K015,6,0.434,2,16,diagram
S0009,K073,4,0.36,1,25,diagram
S0009,K054,7,0.633,3,21,diagram
S0010,K075,1,0.12,0,8,practice
S0010,K025,2,0.148,0,18,practice
S0010,K028,5,0.256,1,12,practice
S0010,K051,4,0.073,0,12,practice
S0010,K072,3,0.023,0,7,practice
S0010,K050,5,0.113,1,12,practice
S0010,K005,7,0.137,1,11,practice
S0010,K069,5,0.117,1,14,practice
S0010,K057,4,0.126,1,5,practice
S0010,K018,2,0.234,0,17,practice
S0010,K035,1,0.093,0,11,practice
S0010,K027,4,0.234,1,14,practice
S0010,K014,3,0.126,0,8,practice
S0010,K056,3,0.169,0,6,practice
S0010,K021,4,0.175,1,17,practice
S0010,K008,4,0.088,0,20,practice
S0010,K058,2,0.114,0,8,practice
S0010,K055,6,0.257,1,10,practice
S0010,K078,5,0.132,1,15,practice
S0010,K079,4,0.092,0,16,practice
S0011,K037,7,0.335,2,6,practice
S0011,K025,6,0.455,2,16,practice
S0011,K023,4,0.399,1,22,practice
S0011,K031,10,0.311,3,19,practice
S0011,K001,9,0.439,3,9,practice
S0011,K060,5,0.316,1,18,practice
S0011,K013,6,0.356,2,21,practice
S0011,K004,9,0.341,3,15,practice
S0011,K009,4,0.428,1,17,practice
S0011,K052,2,0.303,0,19,practice
S0011,K032,6,0.366,2,17,practice
S0011,K035,9,0.521,3,21,practice
S0011,K059,3,0.382,1,23,practice
S0011,K071,6,0.342,2,20,practice
S0011,K019,5,0.362,1,19,practice
S0011,K014,7,0.231,2,16,practice
S0011,K017,6,0.393,2,23,practice
S0011,K070,3,0.318,0,20,practice
S0011,K034,3,0.309,0,14,practice
S0011,K062,4,0.313,1,13,practice
S0011,K041,7,0.334,2,23,practice
S0011,K080,6,0.294,1,9,practice
S0011,K046,9,0.324,2,18,practice
S0011,K078,6,0.393,2,12,practice
S0011,K002,3,0.357,1,26,practice
S0011,K015,6,0.331,1,21,practice
S0011,K073,2,0.218,0,27,practice
S0012,K075,7,0.396,2,19,diagram
S0012,K031,9,0.74,4,18,diagram
S0012,K065,5,0.498,1,21,diagram
S0012,K009,6,0.553,2,15,diagram
S0012,K045,3,0.699,1,21,diagram
S0012,K035,10,0.695,4,21,diagram
S0012,K027,8,0.72,3,27,diagram
S0012,K038,6,0.6,2,24,diagram
S0012,K048,7,0.547,2,26,diagram
S0012,K047,9,0.523,3,18,diagram
S0012,K016,12,0.81,6,25,diagram
S0012,K033,12,0.734,5,26,diagram
S0012,K079,3,0.429,1,18,diagram
S0012,K073,4,0.21,1,27,diagram
S0013,K075,5,0.368,1,20,practice
S0013,K037,5,0.374,1,18,practice
S0013,K011,10,0.365,3,23,practice
S0013,K010,5,0.371,1,24,practice
S0013,K004,4,0.253,1,23,practice
S0013,K044,16,0.545,6,15,practice
S0013,K009,9,0.352,3,17,practice
S0013,K018,9,0.624,4,10,practice
S0013,K052,9,0.405,3,16,practice
S0013,K035,11,0.379,3,18,practice
S0013,K071,8,0.341,2,17,practice
S0013,K048,8,0.502,3,18,practice
S0013,K021,4,0.398,1,18,practice
S0013,K003,11,0.449,4,18,practice
S0013,K058,6,0.342,2,13,practice
S0013,K016,3,0.466,1,8,practice
S0013,K033,6,0.254,1,10,practice
S0013,K080,4,0.244,1,13,practice
S0013,K015,6,0.233,1,21,practice
S0013,K073,7,0.196,1,16,practice
S0014,K075,3,0.179,0,25,diagram
S0014,K025,8,0.119,1,16,diagram
S0014,K011,1,0.086,0,13,diagram
S0014,K050,2,0.128,0,18,diagram
S0014,K013,5,0.199,1,21,diagram
S0014,K049,2,0.051,0,11,diagram
S0014,K005,4,0.191,1,22,diagram
S0014,K057,3,0.119,0,18,diagram
S0014,K018,3,0.15,0,12,diagram
S0014,K006,2,0.169,0,18,diagram
S0014,K027,3,0.115,0,20,diagram
S0014,K019,4,0.254,1,12,diagram
S0014,K017,10,0.283,3,15,diagram
S0014,K056,2,0.213,0,26,diagram
S0014,K003,2,0.162,0,15,diagram
S0014,K053,8,0.201,2,15,diagram
S0014,K016,4,0.237,1,26,diagram
S0014,K062,2,0.062,0,16,diagram
S0014,K041,3,0.06,0,10,diagram
S0014,K078,1,0.098,0,12,diagram
S0015,K037,4,0.351,1,9,practice
S0015,K025,6,0.518,2,16,practice
S0015,K051,6,0.507,2,20,practice
S0015,K005,5,0.339,1,25,practice
S0015,K076,6,0.262,1,28,practice
S0015,K057,7,0.223,2,20,practice
S0015,K009,3,0.235,0,28,practice
S0015,K052,9,0.366,3,15,practice
S0015,K032,10,0.319,3,20,practice
S0015,K043,5,0.44,1,19,practice
S0015,K008,2,0.297,0,16,practice
S0015,K077,4,0.387,1,21,practice
S0015,K033,9,0.247,2,29,practice
S0015,K055,3,0.389,1,14,practice
S0015,K078,6,0.318,1,29,practice
S0016,K028,7,0.555,2,14,practice
S0016,K023,5,0.395,1,13,practice
S0016,K065,4,0.285,1,26,practice
S0016,K011,5,0.404,1,29,practice
S0016,K057,2,0.324,0,18,practice
S0016,K018,10,0.36,3,15,practice
S0016,K052,4,0.491,1,16,practice
S0016,K007,11,0.361,3,18,practice
S0016,K063,11,0.372,3,19,practice
S0016,K048,2,0.343,0,22,practice
S0016,K064,6,0.32,1,20,practice
S0016,K016,6,0.406,2,20,practice
S0016,K046,8,0.395,2,13,practice
S0017,K049,8,0.68,3,14,examples
S0017,K076,8,0.424,2,14,examples
S0017,K067,6,0.553,2,15,examples
S0017,K018,6,0.779,3,23,examples
S0017,K059,8,0.525,3,16,examples
S0017,K019,7,0.743,3,22,examples
S0017,K034,5,0.635,2,26,examples
S0017,K016,6,0.751,3,20,examples
S0017,K077,5,0.457,1,21,examples
S0017,K039,14,0.671,6,24,examples
S0017,K079,8,0.534,3,15,examples
S0017,K054,7,0.711,3,21,examples
S0018,K037,6,0.322,1,22,examples
S0018,K051,10,0.446,3,16,examples
S0018,K013,10,0.342,3,21,examples
S0018,K068,6,0.335,2,20,examples
S0018,K076,4,0.207,1,13,examples
S0018,K044,6,0.369,2,24,examples
S0018,K067,1,0.128,0,18,examples
S0018,K069,3,0.159,0,19,examples
S0018,K018,4,0.361,1,17,examples
S0018,K032,9,0.34,3,14,examples
S0018,K035,5,0.268,1,20,examples
S0018,K038,10,0.373,3,21,examples
S0018,K007,5,0.275,1,15,examples
S0018,K063,8,0.276,2,15,examples
S0018,K064,2,0.124,0,9,examples
S0018,K034,4,0.472,1,19,examples
S0018,K008,3,0.092,0,17,examples
S0018,K079,4,0.079,0,23,examples
S0019,K075,2,0.165,0,28,practice
S0019,K029,2,0.123,0,21,practice
S0019,K025,5,0.09,1,15,practice
S0019,K028,4,0.05,0,11,practice
S0019,K011,5,0.155,1,14,practice
S0019,K076,3,0.155,0,14,practice
S0019,K057,8,0.217,2,19,practice
S0019,K045,5,0.243,1,17,practice
S0019,K059,1,0.107,0,9,practice
S0019,K071,11,0.148,2,13,practice
S0019,K027,7,0.151,1,21,practice
S0019,K063,1,0.108,0,24,practice
S0019,K017,4,0.118,0,14,practice
S0019,K077,4,0.175,1,16,practice
S0019,K062,5,0.211,1,19,practice
S0019,K015,4,0.07,0,16,practice
S0020,K001,10,0.515,4,15,examples
S0020,K060,10,0.637,4,21,examples
S0020,K030,12,0.601,5,21,examples
S0020,K050,10,0.58,4,14,examples
S0020,K010,4,0.487,1,21,examples
S0020,K013,4,0.459,1,21,examples
S0020,K068,9,0.566,3,11,examples
S0020,K049,12,0.639,5,27,examples
S0020,K005,13,0.458,4,12,examples
S0020,K040,10,0.597,4,17,examples
S0020,K044,10,0.652,4,16,examples
S0020,K067,10,0.648,4,21,examples
S0020,K069,7,0.506,2,17,examples
S0020,K009,5,0.371,1,18,examples
S0020,K018,11,0.662,5,16,examples
S0020,K059,5,0.58,2,18,examples
S0020,K071,9,0.466,3,20,examples
S0020,K070,12,0.48,4,19,examples
S0020,K021,10,0.729,4,18,examples
S0020,K003,9,0.534,3,20,examples
S0020,K008,7,0.482,2,33,examples
S0020,K015,8,0.365,2,13,examples
S0020,K042,7,0.678,3,15,examples
S0020,K073,6,0.416,2,22,examples
S0021,K028,3,0.344,1,8,practice
S0021,K026,8,0.406,2,16,practice
S0021,K031,8,0.546,3,8,practice
S0021,K001,4,0.121,0,11,practice
S0021,K010,2,0.098,0,14,practice
S0021,K061,6,0.346,2,16,practice
S0021,K049,6,0.321,1,13,practice
S0021,K044,4,0.316,1,14,practice
S0021,K035,9,0.324,2,18,practice
S0021,K071,2,0.153,0,14,practice
S0021,K063,8,0.334,2,11,practice
S0021,K048,5,0.211,1,15,practice
S0021,K062,6,0.361,2,15,practice
S0021,K080,6,0.277,1,13,practice
S0021,K078,4,0.261,1,12,practice
S0021,K079,5,0.191,1,7,practice
S0022,K075,7,0.384,2,21,practice
S0022,K036,5,0.412,1,15,practice
S0022,K030,4,0.528,1,18,practice
S0022,K050,11,0.626,4,20,practice
S0022,K049,5,0.478,1,16,practice
S0022,K004,5,0.338,1,12,practice
S0022,K018,4,0.545,1,26,practice
S0022,K006,5,0.46,1,20,practice
S0022,K035,9,0.516,3,25,practice
S0022,K021,8,0.548,3,12,practice
S0022,K003,7,0.424,2,18,practice
S0022,K015,3,0.47,1,17,practice
S0022,K039,7,0.519,2,16,practice
S0023,K029,8,0.528,3,23,explanation
S0023,K037,9,0.489,3,10,explanation
S0023,K001,10,0.388,3,18,explanation
S0023,K060,14,0.482,5,25,explanation
S0023,K050,8,0.439,3,15,explanation
S0023,K061,8,0.561,3,16,explanation
S0023,K049,4,0.511,1,13,explanation
S0023,K068,8,0.526,3,18,explanation
S0023,K005,5,0.349,1,23,explanation
S0023,K067,9,0.326,2,14,explanation
S0023,K032,11,0.497,4,20,explanation
S0023,K059,8,0.318,2,25,explanation
S0023,K043,6,0.388,2,25,explanation
S0023,K048,7,0.48,2,14,explanation
S0023,K047,7,0.482,2,12,explanation
S0023,K003,7,0.384,2,24,explanation
S0023,K046,9,0.616,4,14,explanation
S0023,K015,11,0.451,4,14,explanation
S0023,K073,3,0.3,0,22,explanation
S0023,K054,10,0.493,3,13,explanation
S0024,K029,11,0.71,5,4,practice
S0024,K037,12,0.812,6,17,practice
S0024,K011,5,0.503,2,18,practice
S0024,K010,10,0.621,4,22,practice
S0024,K018,9,0.667,4,17,practice
S0024,K032,12,0.549,5,23,practice
S0024,K071,9,0.526,3,19,practice
S0024,K017,11,0.86,5,21,practice
S0024,K064,9,0.601,3,18,practice
S0024,K003,9,0.532,3,17,practice
S0024,K016,9,0.63,4,26,practice
S0024,K053,8,0.73,3,14,practice
S0024,K077,7,0.478,2,12,practice
S0024,K055,4,0.639,1,16,practice
S0024,K046,12,0.786,6,21,practice
S0024,K041,12,0.657,5,21,practice
S0025,K025,9,0.604,3,14,diagram
S0025,K072,6,0.308,1,13,diagram
S0025,K030,8,0.594,3,18,diagram
S0025,K050,5,0.624,2,15,diagram
S0025,K069,5,0.462,1,9,diagram
S0025,K057,10,0.619,4,13,diagram
S0025,K052,6,0.632,2,16,diagram
S0025,K035,11,0.787,5,24,diagram
S0025,K071,9,0.406,3,8,diagram
S0025,K038,12,0.485,4,17,diagram
S0025,K022,10,0.456,3,21,diagram
S0025,K019,12,0.619,5,22,diagram
S0025,K014,11,0.454,4,24,diagram
S0025,K047,7,0.536,2,17,diagram
S0025,K046,12,0.528,4,19,diagram
S0026,K028,10,0.751,5,15,diagram
S0026,K023,4,0.593,1,14,diagram
S0026,K026,6,0.778,3,10,diagram
S0026,K001,9,0.479,3,17,diagram
S0026,K005,8,0.581,3,13,diagram
S0026,K057,4,0.496,1,13,diagram
S0026,K038,6,0.612,2,27,diagram
S0026,K017,10,0.793,5,20,diagram
S0026,K021,8,0.709,3,14,diagram
S0026,K008,8,0.528,3,6,diagram
S0026,K077,7,0.395,2,9,diagram
S0026,K015,3,0.412,1,21,diagram
S0026,K054,5,0.771,2,25,diagram
S0027,K037,6,0.583,2,17,practice
S0027,K031,9,0.598,3,25,practice
S0027,K060,9,0.454,3,30,practice
S0027,K010,10,0.483,3,19,practice
S0027,K057,8,0.515,3,14,practice
S0027,K009,6,0.501,2,17,practice
S0027,K018,4,0.567,1,20,practice
S0027,K027,12,0.629,5,30,practice
S0027,K022,7,0.532,2,24,practice
S0027,K007,4,0.476,1,25,practice
S0027,K021,12,0.728,5,18,practice
S0027,K003,6,0.504,2,23,practice
S0027,K058,8,0.574,3,21,practice
S0027,K053,9,0.709,4,22,practice
S0027,K055,12,0.492,4,17,practice
S0027,K079,5,0.486,1,22,practice
S0028,K028,4,0.121,0,17,practice
S0028,K025,2,0.228,0,12,practice
S0028,K023,2,0.149,0,8,practice
S0028,K026,3,0.317,0,15,practice
S0028,K050,4,0.133,1,15,practice
S0028,K010,11,0.153,2,20,practice
S0028,K049,6,0.241,1,13,practice
S0028,K005,4,0.299,1,8,practice
S0028,K040,2,0.123,0,11,practice
S0028,K009,4,0.168,1,11,practice
S0028,K032,8,0.229,2,17,practice
S0028,K045,1,0.144,0,13,practice
S0028,K006,3,0.195,0,20,practice
S0028,K014,4,0.192,1,13,practice
S0028,K058,5,0.317,1,16,practice
S0028,K041,2,0.007,0,15,practice
S0028,K033,5,0.19,1,15,practice
S0028,K002,3,0.085,0,23,practice
S0028,K039,4,0.153,1,12,practice
S0028,K042,6,0.242,1,12,practice
S0028,K079,2,0.132,0,11,practice
S0029,K029,6,0.049,1,20,explanation
S0029,K026,7,0.239,2,13,explanation
S0029,K030,7,0.225,2,16,explanation
S0029,K044,4,0.148,1,21,explanation
S0029,K076,2,0.147,0,23,explanation
S0029,K069,5,0.081,1,24,explanation
S0029,K052,6,0.128,1,22,explanation
S0029,K032,3,0.106,0,24,explanation
S0029,K035,1,0.16,0,15,explanation
S0029,K017,1,0.138,0,21,explanation
S0029,K064,4,0.0,0,24,explanation
S0029,K056,3,0.259,0,21,explanation
S0029,K058,3,0.094,0,11,explanation
S0029,K053,3,0.102,0,34,explanation
S0029,K077,10,0.215,2,13,explanation
S0029,K046,5,0.198,1,5,explanation
S0029,K078,3,0.107,0,7,explanation
S0029,K073,3,0.079,0,17,explanation
S0030,K029,3,0.37,1,16,diagram
S0030,K037,4,0.303,1,12,diagram
S0030,K028,7,0.294,2,22,diagram
S0030,K026,8,0.375,2,16,diagram
S0030,K060,10,0.484,3,12,diagram
S0030,K010,6,0.429,2,19,diagram
S0030,K013,1,0.169,0,7,diagram
S0030,K068,4,0.311,1,16,diagram
S0030,K005,4,0.25,1,25,diagram
S0030,K044,8,0.288,2,22,diagram
S0030,K076,2,0.064,0,8,diagram
S0030,K069,9,0.271,2,12,diagram
S0030,K009,7,0.448,2,12,diagram
S0030,K006,4,0.13,1,1,diagram
S0030,K043,3,0.29,0,1,diagram
S0030,K063,3,0.23,0,12,diagram
S0030,K017,3,0.427,1,13,diagram
S0030,K016,7,0.321,2,20,diagram
S0030,K077,4,0.126,1,14,diagram
S0030,K062,3,0.21,0,8,diagram
S0030,K041,3,0.065,0,16,diagram
S0030,K046,7,0.254,2,18,diagram
S0030,K078,2,0.0,0,13,diagram
S0031,K037,6,0.749,2,17,diagram
S0031,K028,12,0.742,5,25,diagram
S0031,K051,6,0.787,3,28,diagram
S0031,K031,7,0.805,3,20,diagram
S0031,K010,12,0.658,5,21,diagram
S0031,K013,7,0.696,3,26,diagram
S0031,K057,9,0.548,3,20,diagram
S0031,K009,12,0.69,5,20,diagram
S0031,K032,14,0.589,6,28,diagram
S0031,K059,7,0.347,2,17,diagram
S0031,K071,7,0.547,2,26,diagram
S0031,K027,9,0.627,4,13,diagram
S0031,K038,10,0.72,4,15,diagram
S0031,K019,10,0.646,4,25,diagram
S0031,K014,5,0.515,2,22,diagram
S0031,K056,7,0.76,3,30,diagram
S0031,K058,11,0.756,5,17,diagram
S0031,K041,11,0.621,4,31,diagram
S0031,K080,7,0.357,2,24,diagram
S0031,K046,10,0.706,4,22,diagram
S0031,K079,7,0.379,2,19,diagram
S0032,K020,8,0.655,3,12,practice
S0032,K075,11,0.493,4,16,practice
S0032,K029,7,0.756,3,20,practice
S0032,K037,9,0.627,4,13,practice
S0032,K023,7,0.624,3,19,practice
S0032,K031,8,0.801,4,30,practice
S0032,K072,3,0.315,0,15,practice
S0032,K049,12,0.648,5,25,practice
S0032,K004,5,0.529,2,27,practice
S0032,K044,7,0.653,3,22,practice
S0032,K052,7,0.616,3,11,practice
S0032,K006,10,0.599,4,13,practice
S0032,K014,15,0.555,6,30,practice
S0032,K021,12,0.719,5,28,practice
S0032,K003,10,0.613,4,24,practice
S0032,K008,11,0.647,5,18,practice
S0032,K015,7,0.444,2,23,practice
S0032,K079,9,0.35,3,27,practice
S0032,K073,13,0.291,4,23,practice
S0033,K025,7,0.553,2,25,practice
S0033,K050,12,0.397,4,17,practice
S0033,K010,9,0.494,3,18,practice
S0033,K061,4,0.455,1,22,practice
S0033,K005,6,0.472,2,30,practice
S0033,K076,8,0.544,3,25,practice
S0033,K009,7,0.435,2,14,practice
S0033,K018,8,0.493,3,29,practice
S0033,K035,6,0.555,2,13,practice
S0033,K007,5,0.373,1,17,practice
S0033,K048,6,0.501,2,25,practice
S0033,K017,5,0.407,1,24,practice
S0033,K047,9,0.536,3,24,practice
S0033,K056,13,0.613,5,16,practice
S0033,K021,7,0.732,3,25,practice
S0033,K058,10,0.6,4,26,practice
S0033,K062,12,0.48,4,20,practice
S0033,K080,7,0.321,2,32,practice
S0033,K078,7,0.311,2,18,practice
S0034,K075,5,0.373,1,18,diagram
S0034,K037,9,0.519,3,21,diagram
S0034,K065,10,0.589,4,21,diagram
S0034,K049,2,0.482,0,18,diagram
S0034,K044,8,0.685,3,20,diagram
S0034,K022,8,0.608,3,25,diagram
S0034,K063,10,0.569,4,33,diagram
S0034,K070,9,0.53,3,22,diagram
S0034,K062,3,0.412,1,12,diagram
S0034,K039,9,0.622,4,23,diagram
S0034,K041,14,0.66,6,23,diagram
S0035,K020,5,0.369,1,29,practice
S0035,K011,6,0.154,1,24,practice
S0035,K010,8,0.389,2,18,practice
S0035,K061,8,0.295,2,23,practice
S0035,K076,11,0.376,3,17,practice
S0035,K009,9,0.28,2,19,practice
S0035,K052,6,0.526,2,25,practice
S0035,K032,6,0.326,1,14,practice
S0035,K059,4,0.398,1,25,practice
S0035,K071,9,0.508,3,16,practice
S0035,K022,4,0.413,1,14,practice
S0035,K007,1,0.471,0,16,practice
S0035,K048,6,0.445,2,28,practice
S0035,K003,5,0.45,1,19,practice
S0035,K008,6,0.394,2,20,practice
S0035,K053,5,0.374,1,11,practice
S0035,K079,9,0.226,2,24,practice
S0036,K028,5,0.282,1,13,practice
S0036,K023,3,0.402,1,18,practice
S0036,K065,8,0.4,2,16,practice
S0036,K011,5,0.264,1,22,practice
S0036,K005,7,0.35,2,21,practice
S0036,K076,7,0.295,2,16,practice
S0036,K032,3,0.175,0,20,practice
S0036,K022,5,0.504,2,31,practice
S0036,K007,9,0.265,2,22,practice
S0036,K043,2,0.429,0,22,practice
S0036,K048,9,0.316,2,16,practice
S0036,K021,2,0.541,0,23,practice
S0036,K053,2,0.385,0,18,practice
S0036,K016,6,0.625,2,23,practice
S0037,K028,5,0.424,1,12,practice
S0037,K023,3,0.411,1,11,practice
S0037,K051,6,0.512,2,15,practice
S0037,K050,6,0.29,1,11,practice
S0037,K010,2,0.557,0,23,practice
S0037,K040,11,0.546,4,17,practice
S0037,K004,9,0.47,3,18,practice
S0037,K044,9,0.593,3,13,practice
S0037,K076,7,0.381,2,12,practice
S0037,K009,2,0.297,0,12,practice
S0037,K052,1,0.392,0,11,practice
S0037,K045,7,0.503,2,14,practice
S0037,K071,13,0.455,4,20,practice
S0037,K019,13,0.513,5,19,practice
S0037,K014,4,0.334,1,34,practice
S0037,K021,4,0.45,1,11,practice
S0037,K053,4,0.495,1,13,practice
S0037,K078,3,0.225,0,13,practice
S0037,K002,6,0.448,2,16,practice
S0037,K073,1,0.252,0,14,practice
S0038,K011,6,0.253,1,13,diagram
S0038,K030,8,0.283,2,17,diagram
S0038,K005,4,0.224,1,14,diagram
S0038,K006,3,0.271,0,12,diagram
S0038,K019,9,0.311,2,16,diagram
S0038,K014,7,0.151,1,16,diagram
S0038,K048,5,0.248,1,29,diagram
S0038,K003,2,0.245,0,24,diagram
S0038,K046,8,0.282,2,25,diagram
S0039,K020,8,0.506,3,21,explanation
S0039,K075,7,0.387,2,23,explanation
S0039,K029,9,0.334,3,19,explanation
S0039,K023,6,0.255,1,27,explanation
S0039,K031,6,0.367,2,14,explanation
S0039,K001,6,0.325,1,27,explanation
S0039,K040,6,0.395,2,17,explanation
S0039,K024,3,0.423,1,22,explanation
S0039,K044,5,0.468,1,22,explanation
S0039,K018,3,0.332,0,17,explanation
S0039,K006,4,0.287,1,21,explanation
S0039,K071,5,0.278,1,18,explanation
S0039,K027,6,0.268,1,13,explanation
S0039,K043,2,0.291,0,28,explanation
S0039,K048,5,0.236,1,19,explanation
S0039,K021,6,0.342,2,19,explanation
S0039,K041,5,0.111,1,24,explanation
S0039,K078,5,0.224,1,15,explanation
S0039,K015,2,0.315,0,20,explanation
S0039,K073,5,0.135,1,19,explanation
S0040,K029,9,0.246,2,18,explanation
S0040,K072,4,0.224,1,12,explanation
S0040,K065,1,0.088,0,11,explanation
S0040,K060,4,0.274,1,8,explanation
S0040,K013,3,0.075,0,16,explanation
S0040,K061,2,0.112,0,14,explanation
S0040,K005,3,0.128,0,10,explanation
S0040,K040,3,0.244,0,14,explanation
S0040,K076,2,0.032,0,17,explanation
